Airport ID,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,TZ database timezone,Type,Source
Francisco Bangoy International Airport,Davao,Philippines,DVO,RPMD,7.1255202293396,125.64600372314452,96,8,N,Asia/Manila,airport,OurAirports
Madeira Airport,Funchal,Portugal,FNC,LPMA,32.697899,-16.7745,192,0,E,Europe/Lisbon,airport,OurAirports
Maestro Wilson Fonseca Airport,Santarem,Brazil,STM,SBSN,-2.424721956253052,-54.785831451416016,198,-3,S,America/Belem,airport,OurAirports
Sihanoukville International Airport,Sihanoukville,Cambodia,KOS,VDSV,10.57970047,103.637001038,33,7,N,Asia/Phnom_Penh,airport,OurAirports
Ekati Airport,Ekati,Canada,YOA,CYOA,64.6988983154,-110.614997864,1536,-7,A,America/Edmonton,airport,OurAirports
Hawke's Bay Airport,NAPIER,New Zealand,NPE,NZNR,-39.465801,176.869995,6,12,Z,Pacific/Auckland,airport,OurAirports
Levuka Airfield,Levuka,Fiji,LEV,NFNB,-17.7110996246,178.759002686,11,12,N,Pacific/Fiji,airport,OurAirports
Lhasa Gonggar Airport,Lhasa,China,LXA,ZULS,29.2978000641,90.9119033813,11713,8,U,Asia/Shanghai,airport,OurAirports
Redding Municipal Airport,Redding,United States,RDD,KRDD,40.50899887,-122.2929993,505,-8,A,America/Los_Angeles,airport,OurAirports
Mahlon Sweet Field,Eugene,United States,EUG,KEUG,44.12459945678711,-123.21199798583984,374,-8,A,America/Los_Angeles,airport,OurAirports
Idaho Falls Regional Airport,Idaho Falls,United States,IDA,KIDA,43.514599,-112.070999,4744,-7,A,America/Denver,airport,OurAirports
Rogue Valley International Medford Airport,Medford,United States,MFR,KMFR,42.37419891357422,-122.8730010986328,1335,-8,A,America/Los_Angeles,airport,OurAirports
Kaikoura Airport,Kaikoura,New Zealand,KBZ,NZKI,-42.42499923706055,173.60499572753906,20,12,Z,Pacific/Auckland,airport,OurAirports
Roberts Field,Redmond-Bend,United States,RDM,KRDM,44.2541008,-121.1500015,3080,-8,A,America/Los_Angeles,airport,OurAirports
Picton Aerodrome,Picton,New Zealand,PCN,NZPN,-41.346099853516,173.95599365234,161,12,Z,Pacific/Auckland,airport,OurAirports
Hosea Kutako International Airport,Windhoek,Namibia,WDH,FYWH,-22.4799,17.4709,5640,1,S,Africa/Windhoek,airport,OurAirports
Victoria Harbour Seaplane Base,Victoria,Canada,YWH,CYWH,48.4249858939,-123.388867378,0,-8,A,America/Vancouver,airport,OurAirports
Yaoqiang Airport,Jinan,China,TNA,ZSJN,36.857200622558594,117.21600341796876,76,8,U,Asia/Shanghai,airport,OurAirports
Changzhou Benniu Airport,Changzhou,China,CZX,ZSCG,31.919701,119.778999,0,8,U,Asia/Shanghai,airport,OurAirports
Yibin Caiba Airport,Yibin,China,YBP,ZUYB,28.8005555556,104.545,924,8,U,Asia/Shanghai,airport,OurAirports
Roshchino International Airport,Tyumen,Russia,TJM,USTR,57.1896018982,65.3243026733,378,5,N,Asia/Yekaterinburg,airport,OurAirports
Akron Canton Regional Airport,Akron,United States,CAK,KCAK,40.91609954833984,-81.44219970703125,1228,-5,A,America/New_York,airport,OurAirports
Huntsville International Carl T Jones Field,Huntsville,United States,HSV,KHSV,34.637199401855,-86.775100708008,629,-6,A,America/Chicago,airport,OurAirports
Mid Ohio Valley Regional Airport,PARKERSBURG,United States,PKB,KPKB,39.34510040283203,-81.43920135498047,858,-5,A,America/New_York,airport,OurAirports
Montgomery Regional (Dannelly Field) Airport,MONTGOMERY,United States,MGM,KMGM,32.30059814,-86.39399719,221,-6,A,America/Chicago,airport,OurAirports
Tri-Cities Regional TN/VA Airport,BRISTOL,United States,TRI,KTRI,36.475201,-82.407401,1519,-5,A,America/New_York,airport,OurAirports
Barkley Regional Airport,PADUCAH,United States,PAH,KPAH,37.06079864501953,-88.7738037109375,410,-6,A,America/Chicago,airport,OurAirports
Djibouti-Ambouli Airport,Djibouti,Djibouti,JIB,HDAM,11.547300338745115,43.15950012207031,49,3,U,Africa/Djibouti,airport,OurAirports
Haikou Meilan International Airport,Haikou,China,HAK,ZJHK,19.93490028381348,110.45899963378906,75,8,U,Asia/Shanghai,airport,OurAirports
Mafia Island Airport,Mafia Island,Tanzania,MFA,HTMA,-7.917478,39.668502,60,3,U,Africa/Dar_es_Salaam,airport,OurAirports
Page Municipal Airport,Page,United States,PGA,KPGA,36.92610168,-111.447998,4316,-7,A,America/Phoenix,airport,OurAirports
Utila Airport,Utila,Honduras,UII,MHUT,16.1131,-86.880302,29,-6,U,America/Tegucigalpa,airport,OurAirports
Glacier Park International Airport,Kalispell,United States,FCA,KGPI,48.31050109863281,-114.25599670410156,2977,-7,A,America/Denver,airport,OurAirports
MBS International Airport,Saginaw,United States,MBS,KMBS,43.532901763916016,-84.07959747314453,668,-5,A,America/New_York,airport,OurAirports
Greater Binghamton/Edwin A Link field,Binghamton,United States,BGM,KBGM,42.20869827,-75.97979736,1636,-5,A,America/New_York,airport,OurAirports
Baghdad International Airport,Baghdad,Iraq,BGW,ORBI,33.262500762900004,44.2346000671,114,3,U,Asia/Baghdad,airport,OurAirports
Nan Airport,Nan,Thailand,NNT,VTCN,18.807899475097656,100.78299713134766,685,7,U,Asia/Bangkok,airport,OurAirports
Roi Et Airport,Roi Et,Thailand,ROI,VTUV,16.11680030822754,103.77400207519533,451,7,U,Asia/Bangkok,airport,OurAirports
Buri Ram Airport,Buri Ram,Thailand,BFV,VTUO,15.229499816894531,103.25299835205078,590,7,U,Asia/Bangkok,airport,OurAirports
Trat Airport,Trat,Thailand,TDX,VTBO,12.274600029,102.319000244,105,7,U,Asia/Bangkok,airport,OurAirports
Blythe Airport,Blythe,United States,BLH,KBLH,33.6192016602,-114.717002869,399,-8,A,America/Los_Angeles,airport,OurAirports
Al Asad Air Base,Al Asad,Iraq,IQA,ORAA,33.7855987549,42.4412002563,618,3,U,Asia/Baghdad,airport,OurAirports
Al Taqaddum Air Base,Al Taqaddum,Iraq,TQD,ORAT,33.33810043335,43.597099304199,275,3,U,Asia/Baghdad,airport,OurAirports
Joint Base Balad,Al Bakr,Iraq,XQC,ORBD,33.940200805699995,44.361598968500005,161,3,U,Asia/Baghdad,airport,OurAirports
Diosdado Macapagal International Airport,Angeles City,Philippines,CRK,RPLC,15.186,120.559998,484,8,N,Asia/Manila,airport,OurAirports
Sandakan Airport,Sandakan,Malaysia,SDK,WBKS,5.900899887084961,118.05899810791016,46,8,N,Asia/Kuala_Lumpur,airport,OurAirports
